Onset Prime,Jitter,Onset movie,Onset Response text,Response,Response RT,Movie: actor,Movie: item,CTX,date,frameRate,participant,
4.35170368291e-05,0.547024373167,1.51655903738,7.14239540527,3,0.0168788462179,14,29,0,2018_Dec_17_1558,None,1,
4.68012876809e-05,0.980358040106,1.50877811672,7.47541659314,1,0.309852904349,35,9,0,2018_Dec_17_1558,None,1,
3.40746482834e-05,0.497087762572,1.51690429955,8.26551155047,2,0.388335392869,34,31,1,2018_Dec_17_1558,None,1,
6.28122943453e-05,0.385740485924,1.52597389801,7.21207268158,2,0.551183785428,11,4,0,2018_Dec_17_1558,None,1,
3.40745900758e-05,0.304952915715,1.51260720164,7.62540078739,3,0.285806480795,13,5,1,2018_Dec_17_1558,None,1,
3.20219551213e-05,0.323557305774,1.50939392322,6.57662644767,2,0.0760870011873,17,14,1,2018_Dec_17_1558,None,1,
3.57167446055e-05,0.990176553326,1.51007377362,6.49288579251,1,0.436956191552,20,16,0,2018_Dec_17_1558,None,1,
4.63907490484e-05,0.649051901552,1.51432694396,7.72556828678,2,0.290595813363,31,8,0,2018_Dec_17_1558,None,1,
3.3664109651e-05,0.545317701126,1.50447937666,6.99343837623,3,1.49338418525,19,23,0,2018_Dec_17_1558,None,1,
3.5306205973e-05,0.697273109838,1.5303145129,8.05963552464,1,0.316778264532,24,11,0,2018_Dec_17_1558,None,1,
3.69484187104e-05,0.638398459929,1.50224071468,8.77471621585,1,0.694800950761,12,5,1,2018_Dec_17_1558,None,1,
3.98221891373e-05,0.75772983697,1.50078043214,8.58284445142,1,0.522560687677,11,22,0,2018_Dec_17_1558,None,1,
5.58331375942e-05,0.302979444233,1.50416203099,9.99675428908,1,0.452836199605,33,26,1,2018_Dec_17_1558,None,1,
3.90010536648e-05,0.760718370942,1.51087062724,7.75219535024,3,0.290992392751,13,30,1,2018_Dec_17_1558,None,1,
3.77694959752e-05,0.752095414099,1.50181580818,8.85118173272,1,0.301780501904,3,28,1,2018_Dec_17_1558,None,1,
3.24324937537e-05,0.134099648549,1.50397893123,9.71146672801,1,0.474609886529,9,6,1,2018_Dec_17_1558,None,1,
3.20219551213e-05,0.860568892078,1.53312915924,7.23829823919,1,0.368611109967,18,16,1,2018_Dec_17_1558,None,1,
4.02326695621e-05,0.887605028769,1.52073872148,13.5757507707,3,0.416950279847,3,12,1,2018_Dec_17_1558,None,1,
4.96750581078e-05,0.319102792661,1.5139685446,8.48981373903,2,0.464964714309,13,14,1,2018_Dec_17_1558,None,1,
4.76224231534e-05,0.722420051595,1.51923574309,10.0514296975,1,0.509711268824,15,29,1,2018_Dec_17_1558,None,1,
