Group	filter	actor	item	Distance	DistanceM	Space	SpaceM	HoldT	HoldTM	Subs	SubsM	Peak	PeakM	Gaze	Duration	DurationM
0	1	4	6	6.7	0.3571	0	-0.92962	0.33	0.40739	9	-0.05574	2.49	0.36672	0	8023.00	.21
0	1	4	7	5.22	-0.72271	0	-0.5	0.33	0.92357	13	-1.14109	1.53	-1.14308	0	5466.00	-1.12
0	1	4	8	6.35	-0.12337	0	-0.54115	0.33	1.23661	5	-0.89826	2.74	0.04191	0	5023.00	-1.08
0	1	4	9	7.06	0.0039	2	-1.31618	0.33	1.6294	14	-1.86621	2.19	-0.44574	0	3750.00	-1.85
0	1	4	10	4.65	-1.0234	0	-0.76125	0.33	1.1345	8	0.14427	1.6	-1.3186	0	8205.00	-.17
0	1	4	11	7.55	1.04211	0	-1.05915	0.33	-0.16647	6	0	2.08	-0.19411	0	5796.00	-.55
0	1	4	12	5.1	-0.17909	0	-0.68143	1	0.5824	11	-0.38031	2.41	-0.1956	0	5796.00	-.48
0	1	4	13	4.3	-1.99685	4	-0.10726	0.33	1.51703	9	0.53021	1.92	-0.65565	0.09	7769.00	-.42
0	1	4	14	4.52	-0.19414	0	-0.86692	0.33	0.66143	6	-0.07281	2.87	-0.11428	0	4694.00	-1.03
0	1	4	15	6.3	0.01274	2	-1.12412	0.33	-0.22158	10	-0.40842	2.26	-0.08582	0	5318.00	-1.08
0	1	4	16	7.93	1.31984	5	-3.13104	0.33	1.01158	9	-0.29562	1.53	-0.86296	0	4091.00	-1.07
0	1	4	17	7.26	-0.13411	0	-0.81187	0.33	1.39009	6	-1.04487	2.58	-0.17481	0	4795.00	-.84
0	1	4	18	3.6	-0.62156	4	-0.68819	0.67	-0.30388	3	0.32969	1.88	-0.62896	0	5488.00	-.41
0	1	4	19	6.23	0.8425	2	-0.08665	0.33	1.98789	6	-0.7287	2.65	0.29008	0	5102.00	-.58
0	1	4	20	3.79	-1.47577	0	-0.64929	0.33	2.26122	18	-0.53478	1.64	-1.26029	0	5750.00	-1.07
0	1	4	21	7.17	-0.42012	2	-0.18271	0.33	0.07312	14	-1.07569	2.34	-0.42077	0	5000.00	-.96
0	1	4	22	4.94	-0.74328	2	-0.2376	0.33	-0.285	12	-0.8636	3.03	0.38323	0	7273.00	-.34
