ling,geo
0.363923,992.359
0.405269,1343.66
0.406636,1356.9
0.380867,1483.9
0.37556,1462.41
0.324311,1095.11
0.367669,1005.43
0.403305,357.637
0.416515,1040.65
0.469836,1066.06
0.397927,1027.37
0.429481,910.88
0.395131,560.238
0.408109,901.597
0.428041,914.821
0.423372,1038.39
0.403343,1018.01
0.356311,666.485
0.401551,573.753
0.416216,1438.01
0.412971,1629.62
0.404631,1316.87
0.391232,1757.11
0.402561,1355.72
0.34327,513.917
0.375644,1100.01
0.32737,617.106
0.385739,1462.78
0.380633,1078.55
0.353146,1293.26
0.383574,1153.68
0.438109,1775.9
0.401795,1725.04
0.351446,759.711
0.361841,908.653
0.391403,1396.57
0.3956,870.304
0.35858,825.6
0.37298,404.399
0.348659,378.174
0.386389,1022.91
0.442322,1048.16
0.350857,1007.9
0.379355,899.037
0.357441,561.444
0.379775,888.907
0.389546,902.033
0.378341,1018.99
0.375668,1001.1
0.305922,668.765
0.367568,575.089
0.339297,418.011
0.3996,1207.8
0.429418,1944.95
0.429921,1970.31
0.387898,1935.79
0.41992,1803.69
0.398675,1436.4
0.43027,1796.88
0.42776,1809.97
0.385544,1946.48
0.405626,1920.84
0.3584,1530.77
0.407599,1448.41
0.373716,1265.35
0.394102,1108.55
0.418975,1825.55
0.429714,1851
0.361781,1812.88
0.388577,1692.41
0.38295,1331.62
0.389128,1683.85
0.393712,1697.09
0.37223,1823.87
0.373555,1802.58
0.340046,1433.55
0.39123,1344.6
0.356661,1163.8
0.383512,1376.41
0.388862,1572.37
0.367256,1256.57
0.378436,1700.85
0.363652,1289.54
0.311569,504.035
0.319254,1043.14
0.27234,586.62
0.350038,1400.23
0.33403,1018.3
0.314925,1230.54
0.34261,1083.24
0.405185,1717.82
0.380103,1668.9
0.287777,714.413
0.293119,852.419
0.359612,1331.69
0.359824,826.125
0.292896,771.154
0.35065,367.061
0.281544,392.29
0.338752,1200.28
0.306022,1107.12
0.419399,1661.96
0.421904,1854.52
0.404963,1541.33
0.405224,1981.93
0.410525,1575.49
0.368922,698.688
0.360301,1324.91
0.324928,826.061
0.393393,1686.2
0.376333,1302.99
0.37293,1516.55
0.384064,1363.05
0.4397,2000.78
0.419178,1949.85
0.333633,980.536
0.334627,1133.53
0.393288,1617.99
0.395658,1090.03
0.335114,1050.27
0.391237,622.395
0.33262,625.891
0.379214,1486.56
0.37392,1388.68
0.374947,675.267
0.403162,1392.35
0.42856,1417.81
0.347709,1380.3
0.408035,1258.13
0.355306,897.187
0.402676,1249.7
0.408932,1262.94
0.390038,1391.25
0.376946,1369.18
0.324929,999.568
0.366069,910.207
0.332807,729.953
0.29663,675.136
0.318899,954.717
0.440018,2099.78
0.451486,2278.34
0.447915,1975.91
0.451457,2401.87
0.435671,2025.75
