ling,geo,lang
0.193678,877.269,-1
0.247086,862.22,-1
0.316709,1315.1,-1
0.287866,1254.82,-1
0.134698,266.909,-1
0.159489,462.708,-1
0.244992,998.386,-1
0.2722,370.914,-1
0.152104,374.716,-1
0.215579,105.804,-1
0.109226,106.555,-1
0.220738,875.232,-1
0.209617,707.237,-1
0.162915,294.665,-1
0.321667,370.11,1
0.306824,369.225,1
0.353656,394.376,1
0.284057,362.831,1
0.375856,227.621,1
0.164014,142.756,1
0.373087,220.178,1
0.363388,233.32,1
0.3405,373.049,1
0.3177,344.72,1
0.171402,92.5583,1
0.173422,132.503,1
0.268646,312.377,1
0.222632,381.166,1
0.206175,115.048,1
0.314401,358.83,1
0.249642,320.671,1
0.175718,113.003,1
0.333055,733.648,1
0.200381,7.12878,1
0.262849,30.8409,1
0.140557,32.2173,1
0.301188,143.141,1
0.283203,505.757,1
0.341471,146.198,1
0.295008,133.995,1
0.244455,29.8436,1
0.182559,18.8687,1
0.247068,423.888,1
0.287387,494.675,1
0.300255,675.916,1
0.249475,744.314,1
0.283032,464.319,1
0.195174,11.7961,1
0.272763,684.208,1
0.26913,445.228,1
0.264979,363.539,1
0.26168,460.67,-1
0.25188,647.836,-1
0.252341,335.314,-1
0.255559,777.65,-1
0.229597,434.964,-1
0.215277,703.54,-1
0.151203,123.9,-1
0.14558,517.896,-1
0.218498,490.718,-1
0.173083,101.687,-1
0.163109,327.426,-1
0.265446,428.882,-1
0.275307,792.719,-1
0.266198,746.03,-1
0.120251,310.833,-1
0.0818954,88.8565,-1
0.221192,450.751,-1
0.256348,276.768,-1
0.0766798,175.448,-1
0.260857,617.98,-1
0.190593,653.827,-1
0.187415,334.214,-1
0.164237,186.803,-1
0.124122,261.203,-1
0.171895,549.887,-1
0.243975,760.354,-1
0.268646,923.266,-1
0.23302,632.679,-1
0.257885,1046.69,-1
0.220191,735.329,-1
0.18066,401.259,-1
0.140618,400.452,-1
0.11964,220.781,-1
0.211247,792.706,-1
0.161051,406.185,-1
0.138758,631.801,-1
0.232933,659.084,-1
0.288101,1071.8,-1
0.25961,1014.39,-1
0.0853532,66.9822,-1
0.0787774,216.437,-1
0.194625,754.956,-1
0.243553,169.467,-1
0.0447326,129.251,-1
