ling,geo
0.326944,680.501
0.247373,292.717
0.283639,206.589
0.158718,23.4562
0.190492,52.1529
0.255634,247.869
0.291419,694.492
0.106547,15.5744
0.29406,276.918
0.268435,335.782
0.284344,699.316
0.249487,231.971
0.230719,232.456
0.264752,281.806
0.288681,224.746
0.19026,121.417
0.351821,721.375
0.26125,18.0095
0.287674,43.1643
0.198549,31.166
0.328131,132.032
0.253428,493.576
0.354973,134.553
0.335421,122.547
0.287433,33.1907
0.233242,7.68025
0.240237,412.317
0.258933,482.545
0.301215,663.646
0.255287,732.143
0.25772,452.539
0.262334,10.9497
0.297937,671.946
0.256382,433.733
0.226944,351.276
0.197119,12.5611
0.280784,461.933
0.274517,464.91
0.269505,420.827
0.2764,470.145
0.265243,569.867
0.309194,687.039
0.345673,649.642
0.27952,90.758
0.337585,115.331
0.29856,91.7766
0.147587,60.5878
0.362457,421.492
0.218512,61.8103
0.130564,50.1592
0.266799,99.9231
0.266266,65.7348
0.349923,339.565
0.372973,410.295
0.343644,591.908
0.322956,659.997
0.365838,379.769
0.302311,81.6815
0.349944,600.167
0.356494,361.027
0.370189,279.6
0.303305,84.5864
0.345556,389.321
0.362925,392.199
0.381138,348.046
0.353796,397.51
0.333363,497.604
0.36728,615.331
0.337802,72.7851
0.206725,104.504
0.288614,636.194
0.341667,661.266
0.24891,629.827
0.323707,492.043
0.234405,124.724
0.333706,485.848
0.318911,498.804
0.31573,640.101
0.255418,611.579
0.227949,221.826
0.254667,136.332
0.203584,47.9505
0.156529,114.136
0.227783,176.967
0.256413,625.889
0.189033,55.3811
0.274558,206.369
0.255153,267.098
0.239988,630.425
0.22792,161.076
0.204493,161.508
0.239628,210.884
0.264458,153.803
0.176625,50.4687
0.169398,70.9538
0.2593,618.222
0.340654,546.202
0.358509,800.607
0.314025,99.5065
0.362395,91.1839
0.281444,84.1301
0.410688,234.988
0.346437,576.864
0.398122,233.597
0.401305,223.72
0.353038,78.8487
0.31425,119.339
0.320589,506.061
0.343397,567.067
0.347312,743.298
0.316042,813.941
0.351659,543.282
0.306059,101.01
0.358701,751.779
0.336239,528.13
0.332516,434.614
0.302097,106.319
0.330449,549.836
0.29561,554.153
0.324619,513.486
0.364895,558.236
0.323059,653.635
0.323258,766.359
0.3473,111.959
0.399078,174.766
0.30184,699.926
0.249852,199.262
0.278964,546.878
0.322423,571.666
0.231859,542.23
0.337121,400.588
0.187887,43.6447
0.351348,395.239
0.333255,407.986
0.286331,552.214
0.262439,522.013
0.195895,126.507
0.19768,49.3716
0.226999,143.305
0.17923,205.439
0.273238,81.6702
0.273596,536.983
0.204131,150.644
0.224588,111.276
0.223303,180.717
0.236895,540.882
0.203206,67.3292
0.20722,66.4759
0.188849,115.634
0.247577,59.4748
0.169139,45.0224
0.197699,166.212
0.256792,528.869
0.336571,456.34
0.159573,95.3559
0.294289,615.243
0.299919,340.206
0.312801,404.728
0.388511,429.339
0.286724,401.245
0.37164,257.725
0.131291,112.824
0.370505,252.656
0.363644,265.3
0.311384,410.983
0.334949,379.763
0.154223,38.7109
0.136732,100.029
0.247081,282.966
0.219798,348.061
0.177315,66.7593
0.315694,395.09
0.224961,290.852
0.162222,59.2167
0.106791,53.93
0.270124,398.618
0.207583,75.5902
0.18314,78.2025
0.128105,40.6275
0.195083,83.6263
0.208631,185.787
0.258037,306.348
0.24283,386.724
0.368588,314.032
0.23987,235.724
0.335352,476.543
0.213083,142.909
