ling,geo
0.239015,530.542
0.165107,345.891
0.219777,896.695
0.0886468,127.605
0.180126,708.982
0.173489,303.751
0.121694,180.68
0.097744,198.782
0.20495,507.841
0.258719,551.193
0.242213,498.569
0.180462,503.495
0.153374,318.068
0.146078,321.091
0.235335,421.958
0.138447,402.219
0.283595,846.787
0.241296,872.677
0.110824,270.813
0.0900902,63.5903
0.174341,497.047
0.206142,766.23
0.15138,250.18
0.134198,521.259
0.136542,255.249
0.208955,763.716
0.221538,468.461
0.135227,118.826
0.18304,803.84
0.138916,206.627
0.275202,851.146
0.244126,480.735
0.258104,675.675
0.244799,357.724
0.260123,806.329
0.22137,440.201
0.204798,696.238
0.162796,157.562
0.153773,512.76
0.209722,508.739
0.172791,119.616
0.160041,342.288
0.259398,409.337
0.272512,819.304
0.250676,774.917
0.119398,309.233
0.0844519,88.6375
0.203789,461.325
0.241292,288.438
0.0715741,166.711
0.26805,600.382
0.194793,639.494
0.179153,339.741
0.149223,219.085
0.118568,244.245
0.154794,537.063
0.0764108,36.426
0.079956,295.153
0.0583461,59.5627
0.185764,511.185
0.240976,729.913
0.184615,307.288
0.131208,589.932
0.178655,114.707
0.248844,651.682
0.134589,281.893
0.240779,87.3503
0.237683,221.2
0.219227,109.338
0.234597,354.095
0.170749,271.324
0.216325,1103.72
0.140687,323.814
0.180591,915.905
0.185992,128.723
0.138588,342.414
0.109145,174.967
0.205814,536.396
0.234604,359.645
0.232763,324.51
0.196445,709.641
0.216276,513.902
0.173487,211.641
0.240464,628.888
0.189982,600.91
0.279478,1047.56
0.222225,1076.55
0.117502,259.818
0.13618,263.23
0.214827,693.323
0.211272,970.375
0.19614,435.089
0.186043,724.061
0.185167,417.326
0.217759,962.219
0.223171,269.6
0.114566,158.023
0.19383,1009.97
0.124864,357.293
0.267392,1058.16
0.140128,207.122
0.20042,460.379
0.264273,888.75
0.274608,1049.79
0.262039,761.136
0.289702,1171.97
0.232668,858.706
0.188013,283.453
0.185837,528.825
0.125746,126.565
0.23749,920.868
0.184874,533.302
0.168147,759.043
0.256173,760.081
0.312359,1198.57
0.286082,1139.64
0.12055,155.91
0.148152,344.189
0.234707,880.87
0.258513,266.095
0.129832,256.287
0.219958,203.262
0.164991,224.288
0.184014,758.766
0.194062,589.284
0.144848,180.155
0.118574,118.602
0.15575,431.618
0.133697,128.48
0.132601,478.111
0.113905,138.997
0.278802,1117.23
0.191028,712.85
0.137839,172.43
0.173627,533.905
0.226459,241.671
0.187567,648.772
0.1457,419.726
0.194154,852.285
0.25311,621.969
0.268275,784.705
0.233318,493.996
0.261887,909.192
0.217418,608.154
0.186614,531.789
0.183091,261.014
0.13993,345.191
0.225169,655.144
0.160124,272.889
0.163169,496.935
0.239664,570.857
0.281474,932.997
0.261246,876.942
0.101496,137.663
0.115813,85.211
0.21288,622.697
0.227286,132.406
0.102421,40.0245
0.243833,464.784
0.170808,492.104
0.184089,507.398
0.191799,321.74
0.12531,126.754
0.148901,386.147
0.117701,173.199
0.0962981,139.537
0.0949088,231.743
0.15814,383.135
0.251978,850.257
0.182953,446.326
0.129237,430.245
0.155549,279.118
0.235603,486.546
0.182094,382.062
0.114119,172.86
0.180423,584.531
0.117172,267.817
0.268589,501.274
0.262567,690.392
0.264233,376.716
0.252781,820.2
0.234426,466.578
0.214009,669.925
0.154394,165.416
0.147032,485.895
0.239052,530.432
0.170445,140.464
0.167867,365.371
0.277327,435.172
0.285687,835.192
0.270719,788.57
0.124141,281.714
0.0732912,60.9422
0.219338,486.188
0.253556,261.585
0.0600593,140.232
0.269617,578.008
0.191781,615.56
0.19401,365.968
0.157163,228.822
0.117453,221.235
0.176246,512.466
0.0515095,42.561
0.0821144,269.183
0.0859703,86.8657
0.175711,489.555
0.264731,746.886
0.19329,326.591
0.153629,564.223
0.186129,139.228
0.259917,625.245
0.141479,292.317
0.0696663,27.7651
0.205545,477.318
0.153698,394.707
0.11925,145.13
0.234093,145.881
0.258473,242.033
0.237956,114.298
0.262018,372.07
0.179504,313.623
0.237778,1057.5
0.126493,287.965
0.196117,870.303
0.187261,188.331
0.147498,320.41
0.122309,194.981
0.212482,559.073
0.264028,388.435
0.260641,340.715
0.206687,666.17
0.201524,479.542
0.203925,260.132
0.249527,580.73
0.169019,564.877
0.275065,1010.15
0.226575,1036.1
0.131959,284.424
0.10433,224.656
0.195925,659.075
0.212722,929.625
0.180859,405.894
0.16503,684.755
0.167944,396.999
0.21453,926.615
0.241825,304.999
0.154532,151.598
0.18986,966.343
0.13783,339.458
0.277994,1012.04
0.11584,163.503
0.16271,434.26
0.13516,60.8498
0.18632,812.257
0.187374,545.506
0.173604,448.455
0.292923,908.722
0.313081,1048.11
0.28966,780.437
0.320051,1164.69
0.264168,901.477
0.147643,240.991
0.226906,545.796
0.117448,52.8983
0.272232,943.906
0.216026,566.498
0.223738,789.466
0.254111,833.184
0.331001,1197.19
0.316893,1132.44
0.182583,156.908
